Sales,Price,Advertising,Income,Age,ShelveLoc,Urban,US
9.5,120,11,73,42,Bad,Yes,Yes
11.22,83,16,48,65,Good,Yes,Yes
10.06,80,10,35,59,Medium,Yes,Yes
7.4,97,4,100,55,Medium,Yes,Yes
4.15,128,3,64,38,Bad,Yes,No
10.81,72,13,113,78,Bad,No,Yes
6.63,108,0,105,71,Medium,Yes,No
11.85,120,15,81,67,Good,Yes,Yes
6.54,124,0,110,76,Medium,No,No
4.69,124,0,113,76,Medium,No,Yes
9.01,100,9,78,26,Bad,No,Yes
11.96,94,4,94,50,Good,Yes,Yes
3.98,136,2,35,62,Medium,Yes,No
10.96,86,11,28,53,Good,Yes,Yes
11.17,118,11,117,52,Good,Yes,Yes
8.71,144,5,95,76,Medium,No,No
7.58,110,0,32,63,Good,Yes,No
12.29,131,13,74,52,Good,Yes,Yes
13.91,68,0,110,46,Good,No,Yes
8.73,121,16,76,69,Medium,Yes,Yes
6.41,131,2,90,35,Medium,Yes,Yes
12.13,109,12,29,62,Good,No,Yes
5.08,138,6,46,42,Medium,Yes,No
5.87,109,0,31,79,Medium,Yes,No
10.14,113,16,119,42,Bad,Yes,Yes
14.9,82,0,32,54,Good,No,No
8.33,131,11,115,50,Good,No,Yes
5.27,107,0,118,64,Medium,Yes,No
2.99,97,0,74,55,Bad,Yes,Yes
7.81,102,15,99,58,Bad,Yes,Yes
13.55,89,0,94,30,Good,Yes,No
8.25,131,16,58,44,Medium,Yes,Yes
6.2,137,12,32,64,Good,No,Yes
8.77,128,13,38,50,Good,Yes,Yes
2.67,128,0,54,42,Medium,Yes,Yes
11.07,96,11,84,44,Medium,No,Yes
8.89,100,0,76,60,Good,No,No
4.95,110,5,41,54,Medium,Yes,Yes
6.59,102,0,73,65,Medium,Yes,No
3.24,138,0,60,38,Bad,No,No
2.07,126,0,98,73,Bad,No,No
7.96,124,0,53,58,Bad,Yes,No
10.43,24,0,69,50,Medium,Yes,No
4.12,134,11,42,59,Medium,Yes,Yes
4.16,95,6,79,69,Medium,Yes,Yes
4.56,135,0,63,44,Bad,Yes,Yes
12.44,70,14,90,48,Medium,No,Yes
4.38,108,0,98,55,Bad,Yes,No
3.91,98,0,52,69,Bad,Yes,No
10.61,149,0,93,32,Good,Yes,No
